NOC,Gold_1996,Silver_1996,Bronze_1996,Total_1996,Gold_2000,Silver_2000,Bronze_2000,Total_2000,Gold_2004,Silver_2004,Bronze_2004,Total_2004,Gold_2008,Silver_2008,Bronze_2008,Total_2008,Gold_2012,Silver_2012,Bronze_2012,Total_2012,Gold_2016,Silver_2016,Bronze_2016,Total_2016,Gold_2020,Silver_2020,Bronze_2020,Total_2020,Gold_2024,Silver_2024,Bronze_2024,Total_2024,Gold_1998,Silver_1998,Bronze_1998,Total_1998,Gold_2002,Silver_2002,Bronze_2002,Total_2002,Gold_2006,Silver_2006,Bronze_2006,Total_2006,Gold_2010,Silver_2010,Bronze_2010,Total_2010,Gold_2014,Silver_2014,Bronze_2014,Total_2014,Gold_2018,Silver_2018,Bronze_2018,Total_2018,Gold_2022,Silver_2022,Bronze_2022,Total_2022,Gold_1994,Silver_1994,Bronze_1994,Total_1994
ALG,2,0,1,3,1,1,3,5,NULL,NULL,NULL,NULL,0,1,1,2,1,0,0,1,0,2,0,2,NULL,NULL,NULL,NULL,2,0,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ARG,0,2,1,3,0,2,2,4,2,0,4,6,2,0,4,6,1,1,2,4,3,1,0,4,0,1,2,3,1,1,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ARM,1,1,0,2,0,0,1,1,NULL,NULL,NULL,NULL,0,1,4,5,0,1,1,2,1,3,0,4,0,2,2,4,0,3,1,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AUS,9,9,23,41,16,25,17,58,17,16,17,50,14,15,17,46,8,15,12,35,8,11,10,29,17,7,22,46,18,19,16,53,0,0,1,1,2,0,0,2,1,0,1,2,2,1,0,3,0,2,1,3,0,2,1,3,1,2,1,4,0,0,1,1
AUT,0,1,2,3,2,1,0,3,2,4,1,7,0,1,2,3,NULL,NULL,NULL,NULL,0,0,1,1,1,1,5,7,2,0,3,5,3,5,9,17,3,4,10,17,9,7,7,23,4,6,6,16,4,8,5,17,5,3,6,14,7,7,4,18,2,3,4,9
AZE,0,1,0,1,2,0,1,3,1,0,4,5,1,1,4,6,2,2,5,9,1,7,10,18,0,3,4,7,2,2,3,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BAH,0,1,0,1,2,0,1,3,1,0,1,2,0,1,1,2,1,0,0,1,1,0,1,2,2,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BDI,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BEL,2,2,2,6,0,2,3,5,1,0,2,3,2,0,0,2,0,1,2,3,2,2,2,6,3,1,3,7,3,1,6,10,0,0,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,1,0,1,0,1,NULL,NULL,NULL,NULL
BLR,1,6,8,15,3,3,11,17,2,5,7,14,3,4,7,14,2,5,3,10,1,4,4,9,1,3,3,7,NULL,NULL,NULL,NULL,0,0,2,2,0,0,1,1,0,1,0,1,1,1,1,3,5,0,1,6,2,1,0,3,0,2,0,2,0,2,0,2
BRA,3,3,9,15,0,6,6,12,5,2,3,10,3,4,10,17,3,5,9,17,7,6,6,19,7,6,8,21,3,7,10,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BUL,3,7,5,15,5,6,2,13,2,1,9,12,1,1,3,5,0,2,1,3,0,1,2,3,3,1,2,6,3,1,3,7,1,0,0,1,0,1,2,3,0,1,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CAN,3,11,8,22,3,3,8,14,3,6,3,12,3,9,8,20,2,6,10,18,4,3,15,22,7,7,10,24,9,7,11,27,6,5,4,15,7,3,7,17,7,10,7,24,14,7,5,26,10,10,5,25,11,8,10,29,4,8,14,26,3,6,4,13
CHN,16,22,12,50,28,16,14,58,32,17,15,64,48,22,30,100,39,31,22,92,26,18,26,70,38,32,19,89,40,27,24,91,0,6,2,8,2,2,4,8,2,4,5,11,5,2,4,11,3,4,2,9,1,6,2,9,9,4,2,15,0,1,2,3
CRC,1,0,0,1,0,0,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CRO,1,1,0,2,1,0,1,2,1,2,2,5,0,2,3,5,3,1,2,6,5,3,2,10,3,3,2,8,2,2,3,7,NULL,NULL,NULL,NULL,3,1,0,4,1,2,0,3,0,2,1,3,0,1,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CUB,9,8,8,25,11,11,7,29,9,7,11,27,3,10,17,30,5,3,7,15,5,2,4,11,7,3,5,15,2,1,6,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CZE,4,3,4,11,2,3,3,8,1,3,5,9,3,3,1,7,4,4,3,11,1,2,7,10,4,4,3,11,3,0,2,5,1,1,1,3,1,2,0,3,1,2,1,4,2,0,4,6,2,4,3,9,2,2,3,7,1,0,1,2,NULL,NULL,NULL,NULL
DEN,4,1,1,6,2,3,1,6,2,1,5,8,2,2,3,7,2,4,3,9,2,6,7,15,3,4,4,11,2,2,5,9,0,1,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ECU,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1,0,3,1,2,2,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ESP,5,6,6,17,3,3,5,11,3,11,6,20,5,11,3,19,4,10,6,20,7,4,6,17,3,8,6,17,5,4,9,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2,2,0,1,0,1,NULL,NULL,NULL,NULL
ETH,2,0,1,3,4,1,3,8,2,3,2,7,4,2,1,7,3,2,3,8,1,2,5,8,1,1,2,4,1,3,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FIN,1,2,1,4,2,1,1,4,0,2,0,2,1,1,2,4,0,2,1,3,0,0,1,1,0,0,2,2,NULL,NULL,NULL,NULL,2,4,6,12,4,2,1,7,0,6,3,9,0,1,4,5,1,3,1,5,1,1,4,6,2,2,4,8,0,1,5,6
FRA,15,7,15,37,13,14,11,38,11,9,13,33,7,16,20,43,11,11,13,35,10,18,14,42,10,12,11,33,16,26,22,64,2,1,5,8,4,5,2,11,3,2,4,9,2,3,6,11,4,4,7,15,5,4,6,15,5,7,2,14,0,1,4,5
GBR,1,8,6,15,11,10,7,28,9,9,12,30,19,13,19,51,29,18,18,65,27,23,17,67,22,20,22,64,14,22,29,65,0,0,1,1,1,0,1,2,0,1,0,1,1,0,0,1,1,1,3,5,1,0,4,5,1,1,0,2,0,0,2,2
GEO,0,0,2,2,0,0,6,6,2,2,0,4,3,2,2,7,1,2,3,6,2,1,4,7,2,5,1,8,3,3,1,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GER,20,18,27,65,13,17,26,56,13,16,20,49,16,11,14,41,11,20,13,44,17,10,15,42,10,11,16,37,12,13,8,33,12,9,8,29,12,16,8,36,11,12,6,29,10,13,7,30,8,6,5,19,14,10,7,31,12,10,5,27,9,7,8,24
GRE,4,4,0,8,4,6,3,13,6,6,4,16,0,2,1,3,0,0,2,2,3,1,2,6,2,1,1,4,1,1,6,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
HKG,1,0,0,1,NULL,NULL,NULL,NULL,0,1,0,1,NULL,NULL,NULL,NULL,0,0,1,1,NULL,NULL,NULL,NULL,1,2,3,6,2,0,2,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
HUN,7,4,10,21,8,6,3,17,8,6,3,17,3,5,2,10,8,4,6,18,8,3,4,15,6,7,7,20,6,7,6,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,1,1,0,2,3,NULL,NULL,NULL,NULL
INA,1,1,2,4,1,3,2,6,1,1,2,4,1,1,4,6,0,2,1,3,1,2,0,3,1,1,3,5,2,0,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
IND,0,0,1,1,0,0,1,1,0,1,0,1,1,0,2,3,0,2,4,6,0,1,1,2,1,2,4,7,0,1,5,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
IRI,1,1,1,3,3,0,1,4,2,2,2,6,1,0,1,2,7,5,1,13,3,1,4,8,3,2,2,7,3,6,3,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
IRL,3,0,1,4,0,1,0,1,NULL,NULL,NULL,NULL,0,1,2,3,1,1,4,6,0,2,0,2,2,0,2,4,4,0,3,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ITA,13,10,12,35,13,8,13,34,10,11,11,32,8,9,10,27,8,9,11,28,8,12,8,28,10,10,20,40,12,13,15,40,2,6,2,10,4,4,5,13,5,0,6,11,1,1,3,5,0,2,7,9,3,2,5,10,2,7,8,17,7,5,8,20
JAM,1,3,2,6,0,6,3,9,2,1,2,5,5,4,2,11,4,5,4,13,6,3,2,11,4,1,4,9,1,3,2,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JPN,3,6,5,14,5,8,5,18,16,9,12,37,9,8,8,25,7,14,17,38,12,8,21,41,27,14,17,58,20,12,13,45,5,1,4,10,0,1,1,2,1,0,0,1,0,3,2,5,1,4,3,8,4,5,4,13,3,6,9,18,1,2,2,5
KAZ,3,4,4,11,3,4,0,7,1,4,3,8,2,3,4,9,3,2,6,11,2,5,10,17,0,0,8,8,1,3,3,7,0,0,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,1,0,0,1,1,0,0,1,1,NULL,NULL,NULL,NULL,1,2,0,3
